Number	sp	SITE	FIRE_AGE	FIRE_SEVERITY	BLOCK	TREATMENT	TRANSECT_COMBO	transect	FIELD_NO	ORDER	FAMILY	GENUS	SUB_GENUS	SPECIES	SEX	FLOWER_CODE	USDA_CODE	FLOWER_SPECIES	COUNTRY	STATE	COUNTY	LATITUDE	LONGITUDE	DATE	TIME	COLLECTOR	DETERMINED_BY	NOTES	VERIFIED_BY	value	yr	newID	Idlevel
7237	Sphaerophoria__abbreviata	HE	NEW	HI	2	HENEWHI	HENEWHI2_7	HEHI2_7	37825CHS	Diptera	Syrphidae	Sphaerophoria		abbreviata	F	ERICAE	ERCA2	Erigeron caespitosus	USA	MT	Lewis & Clark Co.	46.71	-111.74	08/25/2014	05:03:00 PM	C.H.Sweet	E.G.Reese			1	2014	Sphaerophoria__abbreviata	s
7238	Sphaerophoria__abbreviata	WF	NEW	HI	1	WFNEWHI	WFNEWHI1_2	WFHI1_2	1473GH	Diptera	Syrphidae	Sphaerophoria		abbreviata	F	CEAVEL	CEVE	Ceanothus velutinus	USA	MT	Flathead Co.	48.67	-114.28	07/03/2014	03:30:00 PM	G.Hoffman	E.G.Reese			1	2014	Sphaerophoria__abbreviata	s
7239	Sphaerophoria__abbreviata	HE	MX	MX	2	HEMX	HEMX2_7	HEMX2_7	6FA71615	Diptera	Syrphidae	Sphaerophoria		abbreviata	F	CARNUT	CANU4	Carduus nutans	USA	MT	Lewis & Clark Co.	46.69	-111.71	07/16/2015	09:53:00 AM	F.Ambrose	E.G.Reese	M FLY		1	2015	Sphaerophoria__abbreviata	s
7240	Sphaerophoria__abbreviata	WF	MX	MX	1	WFMX	WFMX1_3	WFMX1_3	1778GH	Diptera	Syrphidae	Sphaerophoria		abbreviata	F	CHAANG	CHAN9	Chamerion angustifolium	USA	MT	Flathead Co.	48.67	-114.29	07/08/2014	04:40:00 PM	G.Hoffman	E.G.Reese			1	2014	Sphaerophoria__abbreviata	s
4333	Lapposyrphus__aberrantis	HE	NEW	HI	2	HENEWHI	HENEWHI2_4	HEHI2_4	25621JW	Diptera	Syrphidae	Lapposyrphus		aberrantis	M	ACHMIL	ACMI2	Achillea millefolium	USA	MT	Lewis & Clark Co.	46.71	-111.73	06/21/2014	05:05:00 PM	J.Wray	E.G.Reese	HOVERFLY		1	2014	Lapposyrphus__aberrantis	s
4334	Lapposyrphus__aberrantis	HE	NEW	HI	2	HENEWHI	HENEWHI2_7	HEHI2_7	5LH62215	Diptera	Syrphidae	Lapposyrphus		aberrantis	F	GAIARI	GAAR	Gaillardia aristata	USA	MT	Lewis & Clark Co.	46.71	-111.74	06/22/2015	10:20:00 AM	L.Hamburg	E.G.Reese	M BEE FLY		1	2015	Lapposyrphus__aberrantis	s
4335	Lapposyrphus__aberrantis	HE	UN	UN	1	HEUN	HEUN1_7	HEUN1_7	2779PM	Diptera	Syrphidae	Lapposyrphus		aberrantis	F	MELOFF	MEOF	Melilotus officinalis	USA	MT	Lewis & Clark Co.	46.74	-111.77	07/09/2014	04:06:00 PM	P.M.	E.G.Reese			1	2014	Lapposyrphus__aberrantis	s
4364	Lasioglossum_Dialictus_abundipunctum	HE	MX	MX	2	HEMX	HEMX2_10	HEMX2_10	2LH61715	Hymenoptera	Halictidae	Lasioglossum	Dialictus	abundipunctum	F	LUPSER	LUSE4	Lupinus sericeus	USA	MT	Lewis & Clark Co.	46.69	-111.71	06/17/2015	09:13:00 AM	L.Hamburg	J.Gibbs	SMALL BEE		1	2015	Lasioglossum_Dialictus_abundipunctum	s
4365	Lasioglossum_Dialictus_abundipunctum	HE	NEW	HI	1	HENEWHI	HENEWHI1_3	HEHI1_3	573LR	Hymenoptera	Halictidae	Lasioglossum	Dialictus	abundipunctum	F	LUPSER	LUSE4	Lupinus sericeus	USA	MT	Lewis & Clark Co.	46.7	-111.72	07/03/2014	09:40:00 AM	L.Roberts	J.Gibbs			1	2014	Lasioglossum_Dialictus_abundipunctum	s
6699	Osmia_Melanosmia_aff.albolateralis	HE	MX	MX	1	HEMX	HEMX1_3	HEMX1_3	30731LR	Hymenoptera	Megachilidae	Osmia	Melanosmia	aff.albolateralis	F	MELOFF	MEOF	Melilotus officinalis	USA	MT	Lewis & Clark Co.	46.7	-111.72	07/31/2014	12:53:00 PM	L.Roberts	T.Griswold			1	2014	Osmia_Melanosmia_aff.albolateralis	s
